block,,splite,,cos
129,6.789473684,7,3.5,0.906878656
20,1.052631579,4,2,0.957841489
22,1.157894737,3,1.5,0.942847304
21,1.105263158,4,2,0.953747635
50,2.631578947,4,2,0.893448784
50,2.631578947,4,2,0.893448784
27,1.421052632,2,1,0.820516151
18,0.947368421,3,1.5,0.985610761
50,2.631578947,4,2,0.893448784
50,2.631578947,4,2,0.893448784
50,2.631578947,4,2,0.893448784
50,2.631578947,4,2,0.893448784
50,2.631578947,4,2,0.893448784
124,6.526315789,3,1.5,0.504300064
50,2.631578947,4,2,0.893448784
50,2.631578947,4,2,0.893448784
44,2.315789474,2,1,0.836660027
23,1.210526316,2,1,0.649936599
27,1.421052632,2,1,0.820516151
56,2.947368421,6,3,0.640894602
67,3.526315789,4,2,0.546684841
231,12.15789474,9,4.5,0.401399117
21,1.105263158,2,1,0.944809024
27,1.421052632,2,1,0.820516151
42,2.210526316,4,2,0.946585212
93,4.894736842,2,1,0.385814197
19,1,2,1,0.976732803
19,1,2,1,0.976732803
19,1,2,1,0.976732803
19,1,2,1,0.971428571
29,1.526315789,2,1,0.791342588
38,2,3,1.5,0.9258201
27,1.421052632,2,1,0.820516151
476,25.05263158,14,7,0.147204572
27,1.421052632,2,1,0.820516151
27,1.421052632,2,1,0.820516151
86,4.526315789,5,2.5,0.893772812
27,1.421052632,2,1,0.820516151
94,4.947368421,5,2.5,0.718736136
30,1.578947368,2,1,0.799014171
101,5.315789474,3,1.5,0.367853015
20,1.052631579,2,1,0.957841489
31,1.631578947,2,1,0.897828067
19,1,2,1,0.971428571
22,1.157894737,3,1.5,0.966091783
19,1,2,1,0.976732803
37,1.947368421,4,2,0.929733351
88,4.631578947,5,2.5,0.723719563
20,1.052631579,2,1,0.957841489
76,4,2,1,0.394958068
33,1.736842105,3,1.5,0.842531397
20,1.052631579,2,1,0.957841489
21,1.105263158,2,1,0.944809024
21,1.105263158,4,2,0.944809024
93,4.894736842,2,1,0.385814197
27,1.421052632,2,1,0.844045128
49,2.578947368,3,1.5,0.798159868
49,2.578947368,3,1.5,0.798159868
17,0.894736842,2,1,0.941123948
38,2,2,1,0.817807755
75,3.947368421,6,3,0.523437312
28,1.473684211,2,1,0.813157113
18,0.947368421,2,1,0.985610761
19,1,2,1,0.971428571
18,0.947368421,2,1,0.985610761
22,1.157894737,2,1,0.956182887
21,1.105263158,2,1,0.944809024
18,0.947368421,2,1,0.985610761
18,0.947368421,2,1,0.985610761
18,0.947368421,2,1,0.985610761
38,2,3,1.5,0.81456762
63,3.315789474,3,1.5,0.911627772
55,2.894736842,4,2,0.800079361
172,9.052631579,14,7,0.575001872
22,1.157894737,3,1.5,0.932294445
38,2,3,1.5,0.87650098
26,1.368421053,2,1,0.936281676
25,1.315789474,3,1.5,0.943456353
100,5.263157895,8,4,0.80483649
31,1.631578947,5,2.5,0.934353184
25,1.315789474,2,1,0.77911858
73,3.842105263,10,5,0.856099443
73,3.842105263,3,1.5,0.740450997
27,1.421052632,2,1,0.936050467
44,2.315789474,4,2,0.821719669
252,13.26315789,18,9,0.783342721
27,1.421052632,3,1.5,0.838293244
58,3.052631579,2,1,0.693687976
31,1.631578947,2,1,0.793320741
76,4,4,2,0.795192321
67,3.526315789,3,1.5,0.736575299
131,6.894736842,10,5,0.797879997
67,3.526315789,9,4.5,0.756875238
644,33.89473684,32,16,0.735424345
139,7.315789474,16,8,0.821138461
119,6.263157895,7,3.5,0.914252419
136,7.157894737,15,7.5,0.77053433
61,3.210526316,5,2.5,0.850486511
38,2,3,1.5,0.948683298
27,1.421052632,2,1,0.820516151
18,0.947368421,2,1,0.985610761
0,0,0,0,0
24,1.263157895,2,1,0.851080857
72,3.789473684,5,2.5,0.900937463
157,8.263157895,12,6,0.714167641
18,0.947368421,2,1,0.985610761
31,1.631578947,2,1,0.832423746
20,1.052631579,2,1,0.932294445
18,0.947368421,2,1,0.985610761
124,6.526315789,3,1.5,0.504300064
58,3.052631579,6,3,0.913176667
30,1.578947368,2,1,0.848528137
52,2.736842105,3,1.5,0.888069066
47,2.473684211,3,1.5,0.860916065
124,6.526315789,3,1.5,0.504300064
47,2.473684211,2,1,0.952327814
34,1.789473684,3,1.5,0.912766595
87,4.578947368,3,1.5,0.59030237
43,2.263157895,3,1.5,0.674957816
42,2.210526316,3,1.5,0.836900481
48,2.526315789,4,2,0.686295951
27,1.421052632,2,1,0.820516151
124,6.526315789,3,1.5,0.504300064
23,1.210526316,2,1,0.897538251
21,1.105263158,2,1,0.946762137
18,0.947368421,2,1,0.985610761
19,1,3,1.5,0.976732803
88,4.631578947,3,1.5,0.372781561
51,2.684210526,4,2,0.955280402
23,1.210526316,2,1,0.90152496
20,1.052631579,2,1,0.957841489
18,0.947368421,3,1.5,0.985610761
27,1.421052632,2,1,0.820516151
16,0.842105263,3,1.5,0.95668077
95,5,2,1,0.667208352
30,1.578947368,2,1,0.727309832
218,11.47368421,5,2.5,0.507229803
31,1.631578947,2,1,0.754765082
23,1.210526316,2,1,0.897538251
21,1.105263158,2,1,0.944809024
39,2.052631579,3,1.5,0.930402523
27,1.421052632,2,1,0.820516151
52,2.736842105,3,1.5,0.729347689
71,3.736842105,2,1,0.687901578
30,1.578947368,2,1,0.79942206
34,1.789473684,3,1.5,0.705054217
18,0.947368421,2,1,0.985610761
51,2.684210526,2,1,0.763223966
18,0.947368421,2,1,0.985610761
18,0.947368421,2,1,0.901497872
27,1.421052632,2,1,0.865687311
27,1.421052632,2,1,0.820516151
42,2.210526316,2,1,0.718736136
27,1.421052632,2,1,0.820516151
124,6.526315789,3,1.5,0.504300064
24,1.263157895,14,7,0.922122855
32,1.684210526,3,1.5,0.971482785
23,1.210526316,2,1,0.897538251
27,1.421052632,2,1,0.820516151
53,2.789473684,3,1.5,0.694660486
21,1.105263158,2,1,0.944809024
18,0.947368421,3,1.5,0.985610761
42,2.210526316,2,1,0.932312367
524,27.57894737,32,16,0.472853944
67,3.526315789,2,1,0.643175142
27,1.421052632,2,1,0.820516151
135,7.105263158,5,2.5,0.509791638
50,2.631578947,3,1.5,0.780720058
32,1.684210526,4,2,0.924012658
22,1.157894737,4,2,0.971967333
30,1.578947368,3,1.5,0.846881215
73,3.842105263,3,1.5,0.62634147
93,4.894736842,2,1,0.385814197
60,3.157894737,4,2,0.876459821
64,3.368421053,4,2,0.581675051
81,4.263157895,2,1,0.338061702
27,1.421052632,2,1,0.820516151
94,4.947368421,2,1,0.385535329
44,2.315789474,3,1.5,0.751916319
139,7.315789474,5,2.5,0.412350909
114,6,3,1.5,0.660521074
22,1.157894737,2,1,0.935414347
30,1.578947368,3,1.5,0.811444119
22,1.157894737,2,1,0.917364945
48,2.526315789,2,1,0.642740036
55,2.894736842,2,1,0.670192382
22,1.157894737,2,1,0.932294445
52,2.736842105,2,1,0.676587615
13,0.684210526,2,1,0.91637959
23,1.210526316,2,1,0.923936435
60,3.157894737,2,1,0.626294578
46,2.421052632,3,1.5,0.801783726
54,2.842105263,2,1,0.72074997
51,2.684210526,3,1.5,0.830539534
18,0.947368421,2,1,0.985610761
53,2.789473684,3,1.5,0.763041086
69,3.631578947,5,2.5,0.945514035
50,2.631578947,3,1.5,0.780720058
50,2.631578947,3,1.5,0.780720058
124,6.526315789,3,1.5,0.504300064
19,1,2,1,0.971428571
145,7.631578947,6,3,0.534739431
79,4.157894737,2,1,0.590266478
174,9.157894737,5,2.5,0.764113966
21,1.105263158,2,1,0.944809024
18,0.947368421,2,1,0.985610761
21,1.105263158,2,1,0.893197737
16,0.842105263,2,1,0.648674973
27,1.421052632,2,1,0.820516151
20,1.052631579,2,1,0.957841489
81,4.263157895,3,1.5,0.716222199
21,1.105263158,2,1,0.944809024
21,1.105263158,2,1,0.944809024
99,5.210526316,7,3.5,0.938739525
18,0.947368421,4,2,0.901497872
120,6.315789474,13,6.5,0.638047537
29,1.526315789,2,1,0.754765082
25,1.315789474,2,1,0.910043976
252,13.26315789,25,12.5,0.731259657
56,2.947368421,4,2,0.789054808
27,1.421052632,2,1,0.820516151
36,1.894736842,4,2,0.879833588
74,3.894736842,5,2.5,0.795592253
93,4.894736842,2,1,0.385814197
293,15.42105263,13,6.5,0.356492954
21,1.105263158,4,2,0.944809024
26,1.368421053,3,1.5,0.890733739
28,1.473684211,3,1.5,0.94058167
22,1.157894737,2,1,0.767771896
23,1.210526316,2,1,0.912260295
1014,53.36842105,46,23,0.460985637
21,1.105263158,2,1,0.944809024
21,1.105263158,2,1,0.944809024
21,1.105263158,3,1.5,0.944809024
96,5.052631579,2,1,0.399647732
67,3.526315789,12,6,0.80037729
106,5.578947368,17,8.5,0.331739453
335,17.63157895,25,12.5,0.54180923
335,17.63157895,25,12.5,0.54180923
18,0.947368421,2,1,0.985610761
18,0.947368421,2,1,0.985610761
31,1.631578947,3,1.5,0.751251275
35,1.842105263,2,1,0.568353068
56,2.947368421,3,1.5,0.672368624
328,17.26315789,10,5,0.66339531
541,28.47368421,22,11,0.566052082
115,6.052631579,5,2.5,0.57114587
43,2.263157895,4,2,0.733216324
294,15.47368421,16,8,0.505153248
67,3.526315789,12,6,0.80037729
192,10.10526316,9,4.5,0.744929511
165,8.684210526,13,6.5,0.500615101
21,1.105263158,2,1,0.944809024
74,3.894736842,16,8,0.492214226
21,1.105263158,2,1,0.649598354
22,1.157894737,2,1,0.780720058
40,2.105263158,2,1,0.762442576
22,1.157894737,2,1,0.694879229
22,1.157894737,3,1.5,0.738988428
40,2.105263158,3,1.5,0.803354312
33,1.736842105,2,1,0.876384137
21,1.105263158,2,1,0.944809024
115,6.052631579,5,2.5,0.57114587
115,6.052631579,5,2.5,0.57114587
154,8.105263158,18,9,0.615184835
27,1.421052632,2,1,0.820516151
80,4.210526316,3,1.5,0.703094142
27,1.421052632,2,1,0.820516151
81,4.263157895,5,2.5,0.61678548
27,1.421052632,2,1,0.820516151
87,4.578947368,2,1,0.304279304
21,1.105263158,2,1,0.944809024
33,1.736842105,2,1,0.791342588
384,20.21052632,3,1.5,0.112245771
33,1.736842105,2,1,0.839274063
22,1.157894737,2,1,0.90487402
30,1.578947368,2,1,0.872871561
21,1.105263158,2,1,0.944809024
541,28.47368421,22,11,0.566052082
48,2.526315789,8,4,0.760128299
168,8.842105263,6,3,0.462822568
168,8.842105263,6,3,0.462822568
47,2.473684211,2,1,0.625058137
27,1.421052632,2,1,0.888892496
100,5.263157895,4,2,0.37098489
27,1.421052632,2,1,0.820516151
44,2.315789474,2,1,0.813157113
30,1.578947368,2,1,0.727309832
120,6.315789474,3,1.5,0.876034058
71,3.736842105,8,4,0.771628394
21,1.105263158,3,1.5,0.944809024
23,1.210526316,2,1,0.888892496
104,5.473684211,3,1.5,0.353009043
27,1.421052632,2,1,0.820516151
45,2.368421053,2,1,0.856272136
60,3.157894737,4,2,0.8306519
88,4.631578947,5,2.5,0.862483363
18,0.947368421,2,1,0.985610761
39,2.052631579,2,1,0.891253578
37,1.947368421,2,1,0.615587011
96,5.052631579,2,1,0.735759887
522,27.47368421,22,11,0.558537745
294,15.47368421,30,15,0.488226767
42,2.210526316,3,1.5,0.86859299
35,1.842105263,2,1,0.816100127
32,1.684210526,5,2.5,0.889144256
28,1.473684211,2,1,0.799014171
27,1.421052632,2,1,0.820516151
27,1.421052632,2,1,0.820516151
135,7.105263158,4,2,0.90262303
24,1.263157895,2,1,0.886788903
31,1.631578947,2,1,0.624576047
125,6.578947368,4,2,0.672443793
122,6.421052632,3,1.5,0.691735347
170,8.947368421,6,3,0.468487481
23,1.210526316,2,1,0.897538251
77,4.052631579,4,2,0.865980675
48,2.526315789,3,1.5,0.73920807
34,1.789473684,2,1,0.79942206
48,2.526315789,3,1.5,0.855628915
124,6.526315789,7,3.5,0.655066571
21,1.105263158,2,1,0.944809024
51,2.684210526,2,1,0.763223966
21,1.105263158,2,1,0.944809024
52,2.736842105,2,1,0.75637877
22,1.157894737,2,1,0.932294445
21,1.105263158,2,1,0.944809024
21,1.105263158,2,1,0.944809024
29,1.526315789,2,1,0.866828395
32,1.684210526,3,1.5,0.758426057
43,2.263157895,3,1.5,0.799054932
67,3.526315789,5,2.5,0.927077355
31,1.631578947,2,1,0.915086432
102,5.368421053,6,3,0.326825244
26,1.368421053,3,1.5,0.888934239
21,1.105263158,3,1.5,0.944809024
22,1.157894737,2,1,0.932294445
47,2.473684211,2,1,0.724910724
541,28.47368421,22,11,0.566052082
222,11.68421053,14,7,0.886776792
23,1.210526316,2,1,0.897538251
28,1.473684211,4,2,0.909988361
27,1.421052632,2,1,0.820516151
1159,61,4,2,0.38674357
1731,91.10526316,5,2.5,0.384937785
25,1.315789474,3,1.5,0.508302799
655,34.47368421,4,2,0.400790939
23,1.210526316,2,1,0.897538251
23,1.210526316,5,2.5,0.923093083
32,1.684210526,3,1.5,0.975900073
29,1.526315789,3,1.5,0.902243639
51,2.684210526,2,1,0.669493349
83,4.368421053,4,2,0.570526196
9,0.473684211,2,1,0.890733739
28,1.473684211,2,1,0.916341934
17,0.894736842,2,1,0.971482785
18,0.947368421,2,1,0.985610761
44,2.315789474,5,2.5,0.831521841
33,1.736842105,2,1,0.539966253
50,2.631578947,4,2,0.893448784
47,2.473684211,3,1.5,0.812256171
29,1.526315789,2,1,0.922490656
37,1.947368421,2,1,0.732467021
18,0.947368421,2,1,0.985610761
25,1.315789474,3,1.5,0.942832754
25,1.315789474,3,1.5,0.942832754
27,1.421052632,3,1.5,0.662733496
27,1.421052632,2,1,0.820516151
84,4.421052632,4,2,0.657010474
21,1.105263158,3,1.5,0.965890577
43,2.263157895,2,1,0.727392967
19,1,2,1,0.971428571
141,7.421052632,11,5.5,0.581289035
32,1.684210526,2,1,0.725240668
50,2.631578947,3,1.5,0.780720058
119,6.263157895,6,3,0.861541117
25,1.315789474,2,1,0.724060107
117,6.157894737,4,2,0.634042469
20,1.052631579,3,1.5,0.965034982
20,1.052631579,2,1,0.90487402
62,3.263157895,20,10,0.52904107
77,4.052631579,3,1.5,0.803902048
29,1.526315789,2,1,0.842531397
29,1.526315789,2,1,0.842531397
21,1.105263158,2,1,0.618647115
27,1.421052632,2,1,0.820516151
33,1.736842105,2,1,0.849411986
30,1.578947368,2,1,0.851049772
25,1.315789474,2,1,0.949611106
29,1.526315789,2,1,0.792213927
56,2.947368421,3,1.5,0.606541428
31,1.631578947,2,1,0.854654774
24,1.263157895,2,1,0.954378037
27,1.421052632,2,1,0.820516151
50,2.631578947,2,1,0.756978119
29,1.526315789,2,1,0.838627869
25,1.315789474,2,1,0.949918636
22,1.157894737,2,1,0.951502571
23,1.210526316,2,1,0.897538251
18,0.947368421,3,1.5,0.985610761
36,1.894736842,3,1.5,0.669103697
20,1.052631579,2,1,0.957841489
20,1.052631579,2,1,0.957841489
55,2.894736842,2,1,0.759551366
27,1.421052632,3,1.5,0.910043976
45,2.368421053,6,3,0.917601701
42,2.210526316,5,2.5,0.908688223
58,3.052631579,7,3.5,0.914747385
66,3.473684211,3,1.5,0.837936751
50,2.631578947,3,1.5,0.780720058
50,2.631578947,3,1.5,0.780720058
51,2.684210526,3,1.5,0.770748767
50,2.631578947,3,1.5,0.780720058
27,1.421052632,2,1,0.820516151
73,3.842105263,4,2,0.763360629
27,1.421052632,2,1,0.820516151
50,2.631578947,3,1.5,0.780720058
57,3,3,1.5,0.63104851
39,2.052631579,4,2,0.546099672
118,6.210526316,7,3.5,0.41846671
27,1.421052632,2,1,0.820516151
20,1.052631579,2,1,0.957841489
30,1.578947368,3,1.5,0.880392853
22,1.157894737,2,1,0.966091783
21,1.105263158,3,1.5,0.950334619
40,2.105263158,3,1.5,0.957509998
19,1,3,1.5,0.974397532
29,1.526315789,2,1,0.8053658
32,1.684210526,2,1,0.79942206
68,3.578947368,4,2,0.875722991
21,1.105263158,2,1,0.965890577
99,5.210526316,4,2,0.745369934
24,1.263157895,3,1.5,0.927105069
23,1.210526316,2,1,0.897538251
27,1.421052632,2,1,0.820516151
55,2.894736842,3,1.5,0.692532128
88,4.631578947,3,1.5,0.851766443
101,5.315789474,6,3,0.34495053
463,24.36842105,5,2.5,0.567727243
179,9.421052632,18,9,0.674411946
73,3.842105263,2,1,0.612066479
21,1.105263158,2,1,0.944809024
35,1.842105263,2,1,0.771047525
39,2.052631579,2,1,0.756863923
47,2.473684211,6,3,0.650118657
48,2.526315789,3,1.5,0.524546289
43,2.263157895,2,1,0.630243845
34,1.789473684,5,2.5,0.894427191
56,2.947368421,2,1,0.55645562
62,3.263157895,5,2.5,0.508664937
57,3,3,1.5,0.544704779
48,2.526315789,2,1,0.516537479
41,2.157894737,3,1.5,0.664573231
41,2.157894737,4,2,0.575963467
33,1.736842105,2,1,0.876877577
61,3.210526316,3,1.5,0.35910019
47,2.473684211,2,1,0.588599998
39,2.052631579,2,1,0.666286406
42,2.210526316,3,1.5,0.694365075
30,1.578947368,5,2.5,0.794276763
23,1.210526316,3,1.5,0.932312367
25,1.315789474,2,1,0.876416746
72,3.789473684,5,2.5,0.662499642
117,6.157894737,6,3,0.594247437
40,2.105263158,2,1,0.536288208
316,16.63157895,10,5,0.478047444
54,2.842105263,3,1.5,0.843308266
71,3.736842105,3,1.5,0.514565493
32,1.684210526,2,1,0.700825558
28,1.473684211,2,1,0.785977492
36,1.894736842,2,1,0.755215469
58,3.052631579,3,1.5,0.789605296
25,1.315789474,2,1,0.869301519
38,2,3,1.5,0.79698506
42,2.210526316,2,1,0.649078777
34,1.789473684,2,1,0.710855551
26,1.368421053,2,1,0.812755454
28,1.473684211,2,1,0.811444119
21,1.105263158,2,1,0.944809024
24,1.263157895,2,1,0.851080857
61,3.210526316,3,1.5,0.669841129
34,1.789473684,2,1,0.771633196
16,0.842105263,2,1,0.9258201
40,2.105263158,5,2.5,0.622649426
31,1.631578947,2,1,0.846666611
39,2.052631579,2,1,0.554965316
74,3.894736842,3,1.5,0.400716205
33,1.736842105,2,1,0.797368414
47,2.473684211,3,1.5,0.438954679
53,2.789473684,2,1,0.54843578
30,1.578947368,2,1,0.836660027
